original_filename,final_relative_path,size,sha256,width_px,height_px,classification,display_priority,description,provenance
最终实现的精细shape reconstruction的动画界面（电脑端）.png,04_Data_and_Models/03_Processed_Data/Shape_Reconstruction_Results/shape_reconstruction_result.png,362712,6c66bba61930892c99345cd5a3913472c85c68d0f8314c6ecd13748b353e2aef,2560,1600,Shape_Reconstruction_Result,Key,Ubuntu GUI screenshot showing a 3D shape-reconstruction result.,Author project image source folder; source file retained unchanged
注胶（最底层全透明硅胶G50硬度）.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/transparent_g50_bottom_layer.jpg,2054411,9b74e545dee58346e1e27013d876cdf11864969ab2c76d7eb6cf90361ef4bdb8,4032,3024,Manufacturing_Process,Supporting,Transparent G50 bottom silicone layer after curing.,Author project image source folder; source file retained unchanged
测试台.jpg,03_Hardware/08_Renders_and_Photos/Test_Setups/benchtop_sensor_test_fixture.jpg,2514262,b45d478903046f08ae8ed521c10d3ed7c32265a371034347c93ad9f216f02270,4032,3024,Test_Setup,Key,Benchtop tactile-sensor test fixture with camera and cabling.,Author project image source folder; source file retained unchanged
深度标定所用小球（半径4mm）.jpg,04_Data_and_Models/02_Calibration_Data/Documentation_Images/Depth_Calibration/depth_calibration_4mm_radius_indenter.jpg,1742009,0876fac49751e40a97d02694395dd106ccbba521da1dff93db778ef30d1f494a,4032,3024,Depth_Calibration,Supporting,4 mm radius spherical indenter used for depth calibration.,Author project image source folder; source file retained unchanged
深度标定的过程图.png,04_Data_and_Models/02_Calibration_Data/Documentation_Images/Depth_Calibration/depth_calibration_process.png,950904,5b64e6983b3686ae90c289e9e614f9f88d420fa140cace7102e032a9110c0604,2560,1600,Depth_Calibration,Key,Ubuntu depth-calibration process screenshot with contact image.,Author project image source folder; source file retained unchanged
相机calibration所用的calibration board.jpg,04_Data_and_Models/02_Calibration_Data/Documentation_Images/Camera_Calibration/camera_calibration_7x9_board.jpg,1851031,c7754d8856ec5bc6666be6845e8cfc7ce5b17517612c9655f44bafeaac0fb866,4032,3024,Camera_Calibration,Key,Physical 7 by 9 calibration target used for camera mapping.,Author project image source folder; source file retained unchanged
相机的calibration过程以及手动calibration脚本的运用.png,04_Data_and_Models/02_Calibration_Data/Documentation_Images/Camera_Calibration/manual_camera_calibration_63_point_gui.png,825434,457f148deb5553c54699a7187a487858973587802a791c86a7592c774a41e860,2560,1600,Camera_Calibration,Key,Manual camera calibration GUI with 63-point grid and preview.,Author project image source folder; source file retained unchanged
硅胶定型（中间层半透明硅胶G5硬度）.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/translucent_g5_middle_layer.jpg,2441137,16d545e0bc1a21c7cf5a8bc497880d51db22647d7742f69b1e8002ec7a7aa176,4032,3024,Manufacturing_Process,Supporting,Translucent G5 middle silicone layer after curing.,Author project image source folder; source file retained unchanged
硅胶定型（最上层黑色硅胶G25硬度）.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/black_g25_top_layer.jpg,3058623,f10274b986dd33c07fc80e3c99fb4903dc33b44d982c4becc7a3bff92b465f38,4032,3024,Manufacturing_Process,Supporting,Black G25 top silicone layer after curing.,Author project image source folder; source file retained unchanged
硅胶的配置.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/silicone_material_preparation.jpg,2819087,e7f51551f84e35f34b44ea7865ace44749036307ec718c66637df60bf3d8b7b9,4032,3024,Manufacturing_Process,Supporting,Silicone component preparation and manual mixing.,Author project image source folder; source file retained unchanged
硅胶真空消泡.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/silicone_vacuum_degassing.jpg,2944349,bffc14bcd7966eccc75197cfc7fe775c3678e67d5bfc71e2285e7bd76d279b33,4032,3024,Manufacturing_Process,Key,Vacuum degassing apparatus and silicone cup.,Author project image source folder; source file retained unchanged
结构爆炸图2（标注版）.jpg,03_Hardware/08_Renders_and_Photos/Assembly_and_Design/sensor_exploded_view_annotated.jpg,112551,63ecef1cc2777c4a125a734b9db2fed50cc35b60acd2eb28778ab9ed4b7acc87,1747,994,Assembly_Render,Key,Numbered exploded view of the tactile sensor assembly.,Author project image source folder; source file retained unchanged
自研夹爪的简易装配.png,03_Hardware/08_Renders_and_Photos/Assembly_and_Design/custom_gripper_assembly_render.png,275879,2424a1596b20bba572839eff15483661d8b2eeb20d8411ee61bdb231dd442341,1299,904,Gripper_Render,Key,CAD rendering of the proposed custom gripper integration.,Author project image source folder; source file retained unchanged
螺丝压传感器.jpg,03_Hardware/08_Renders_and_Photos/Test_Setups/screw_loading_sensor_test.jpg,2407386,af142b06239ddeda0a02e23a614da2dc260b46eb3c3b6e4aaa04cd174ab62230,4032,3024,Assembly_Test,Supporting,Mechanical screw loading on the assembled tactile sensor.,Author project image source folder; source file retained unchanged
